type,phrase,context,position,comment_id,stakeholder,comment_type
guidance,draft guidance ,The terminology used in the draft guidance is in my view not sufficiently descriptive of the challenges facing the use of HCT/Ps.<br/><br/>Ther...,28,FDA-2015-D-3719-0004,unknown,technical_document
guidance,draft guidance ,"...s, Tissues, or Cellular or Tissue-Based Products&quot; <br/><br/>I wish to comment on the concerned draft guidance and propose introduction of certain measures that would facilitate informed decision-making by stake...",178,FDA-2015-D-3719-0003,unknown,technical_document
guidance,minimal manipulation,"...ain the criteria of the HCT/Ps to be regulated including the same-surgical-procedure exception, the minimal manipulation of HCT/PS, HCT/Ps from Adipose tissue and the homologous use of 4HCT/Ps. Based on the comments re...",2419,FDA-2015-D-3719-0025,unknown,personal_narrative
guidance,homologous use,"...CT/Ps are regulated if they meet certain criteria. If they are: minimally manipulated, intended for homologous use, 1there is no combination of cells or tissue with another article (except water, crystalloids, or a...",1599,FDA-2015-D-3719-0025,unknown,personal_narrative
guidance,homologous use,"...lls or tissue with another article (except water, crystalloids, or a For HCT/Ps to be intended for homologous use, they need to be repurposed for the same 1function that they originally existed. sterilizing or pr...",1745,FDA-2015-D-3719-0025,unknown,personal_narrative
guidance,homologous use,"...urgical-procedure exception, the minimal manipulation of HCT/PS, HCT/Ps from Adipose tissue and the homologous use of 4HCT/Ps. Based on the comments received on this proposed regulation, this regulation will hurt...",2486,FDA-2015-D-3719-0025,unknown,personal_narrative
guidance,guidance ,...><br/><span style='padding-left: 30px'></span>Homologous use<br/><br/>Could you please clarify your guidance regarding bone marrow?<br/><br/>-<span style='padding-left: 30px'></span>How could bone marrow be re...,3201,FDA-2015-D-3719-0026,unknown,technical_document
guidance,minimal manipulation,...contribute to this consultation.<br/><br/>COMMENTS<br/><br/><span style='padding-left: 30px'></span>Minimal manipulation<br/><br/>-<span style='padding-left: 30px'></span>The FDA needs to clarify whether and if so at wha...,2617,FDA-2015-D-3719-0026,unknown,technical_document
guidance,minimal manipulation,...oping bio-processing technologies as near-to-patient medical devices that are proposed as involving minimal manipulations.<br/><br/><span style='padding-left: 30px'></span>Homologous use<br/><br/>Could you please clarify...,3075,FDA-2015-D-3719-0026,unknown,technical_document
guidance,homologous use,...t are proposed as involving minimal manipulations.<br/><br/><span style='padding-left: 30px'></span>Homologous use<br/><br/>Could you please clarify your guidance regarding bone marrow?<br/><br/>-<span style='paddi...,3147,FDA-2015-D-3719-0026,unknown,technical_document
