trigram,count
my cell be,1496
not a drug,1485
of my body,1417
part of my,1338
cell be my,1282
as a drug,1262
a part of,1252
my stem cell,1250
stem cell be,1233
be my cell,1112
be a part,1109
in any way,1053
drug they be,1048
a drug they,1029
own body be,1018
and my doctor,1004
from use my,950
use my body,950
one's own body,947
an inalienable right,932
right to prevent,931
my body in,928
be an inalienable,920
include the fda,916
to prevent i,914
any right to,911
have any right,910
control over one's,901
body in any,900
i deem acceptable,895
cell they be,892
be able to,891
over one's own,888
doctor from use,879
my cell they,876
my doctor from,876
own stem cell,874
any way which,874
be suppose to,873
way which i,869
suppose to be,867
which i deem,867
prevent i and,864
body be suppose,850
acceptable control over,838
deem acceptable control,835
of my right,819
please don't take,807
one of my,802
my right away,801
inalienable right please,786
be classify as,784
another one of,782
take another one,776
right please don't,772
don't take another,764
classify as a,605
my own body,581
my body no,559
the right to,543
no one include,531
one include the,529
body no one,519
should be able,484
stem cell as,469
of stem cell,456
my own cell,426
from my body,406
have the right,401
stem cell should,395
my own stem,382
not be classify,382
stem cell to,377
cell be not,360
my body be,360
stem cell therapy,359
my body noone,326
noone include the,326
body noone include,324
to use my,322
my body and,312
please do not,305
able to use,298
the use of,296
cell as a,294
stem cell treatment,292
cell should not,287
a skin graft,284
consider a drug,280
use my own,278
cell should be,264
belong to i,242
stem cell for,233
be take from,231
to be use,229
to use they,221
be allow to,217
cell be mine,215
stem cell and,208
classify as drug,207
cell to be,201
stem cell research,200
i want to,196
a drug and,195
use their own,193
use stem cell,193
take from the,191
be use to,189
their own stem,188
to treat a,187
right to use,183
in order to,183
come from my,181
the stem cell,177
i believe that,175
their own body,170
be consider a,167
i would like,165
in the future,163
be part of,163
that stem cell,158
to be able,157
my doctor and,156
can be use,154
should be allow,152
stem cell in,152
body they be,146
be treat as,146
cell be a,141
cell belong to,139
a drug be,138
thank you for,137
i see fit,136
doctor and i,134
drug and should,133
cell be take,130
the united states,129
be my body,129
reclassify stem cell,129
to use their,128
stem cell from,127
stem cell so,127
classify stem cell,126
need to be,125
be not drug,123
use of stem,122
our own body,121
would like to,120
be no different,119
body be my,118
their own cell,116
the ability to,116
cell from my,115
that come from,115
the right thing,115
as drug and,115
a right to,114
cell as drug,114
my cell and,112
a drug in,111
do the right,109
have a right,109
for future use,109
part of i,109
own body they,108
be not consider,107
they be classify,107
cellular and tissue,106
a drug if,104
our own stem,103
from the body,102
not consider a,102
stem cell have,102
no different than,100
my right to,99
and cellular and,99
body be a,98
a medical procedure,98
be label as,98
the patient's own,97
use my stem,97
label as a,97
not be consider,97
a drug i,96
as a medical,96
my body my,96
large number of,95
human cells tissues,94
stem cell can,94
be mine and,93
own body and,92
in my body,91
to tell i,91
be a drug,90
stem cell that,90
from the patient's,90
body to treat,90
these cell should,90
able to do,89
patient's own body,89
