bigram,count
stem cell,196
cell therapy,56
use of,36
own body,30
cell treatment,28
able to,24
of stem,21
homologous use,21
cell be,20
hct p,20
be able,19
need to,18
to use,17
my body,16
access to,16
right to,15
continue to,15
a person&#39;s,15
< br/,14
br/ >,14
therapy that,14
own stem,14
the four,14
four hct,14
regulate a,14
the use,13
the right,13
to get,13
person&#39;s use,13
own tissue,12
of human,12
my stem,12
the stem,12
a drug,12
cell and,12
bone marrow,12
the business,12
business of,12
of regulate,12
body part,12
use the,12
and tissue,12
relate to,11
these treatment,11
own cell,11
i would,11
have stem,11
minimal manipulation,11
responsible stem,11
the regulation,10
human cells,10
cells tissues,10
to make,10
of medicine,10
see attach,10
use my,10
treatment be,10
side effect,10
i could,10
the donor,10
strength and,10
guidance document,10
to responsible,10
that use,10
cellular and,10
non- structural,10
< br/><br/>i,9
the treatment,9
treatment i,9
fda approve,9
therapy i,9
regenerative medicine,9
of bone,9
the patients&#39,9
patients&#39 own,9
withdraw the,9
regulation of,8
pay for,8
base on,8
would be,8
< br/><br/,8
br/><br/ >,8
the cell,8
this treatment,8
i believe,8
want to,8
my right,8
knee replacement,8
range of,8
30px'></span >,8
continue access,8
guidance relate,7
treatment and,7
the patient,7
21 cfr,7
with stem,7
no long,7
i know,7
cost of,7
insurance company,7
thank you,7
get out,7
adult stem,7
make it,7
part of,7
cell for,7
my knee,7
tissues and,7
and cellular,7
my cell,7
body be,7
amniotic membrane,7
use in,6
adipose tissue,6
use their,6
patient be,6
the benefit,6
of treatment,6
to patient,6
therapy to,6
therapy and,6
of patient,6
a well,6
cell from,6
believe that,6
quality of,6
cell to,6
year ago,6
the future,6
a stem,6
use they,6
the cost,6
well and,6
cell procedure,6
year old,6
the united,6
united states,6
no option,6
option patient,6
body and,6
public hearing,6
be regulate,6
basic function,6
the government,6
my shoulder,6
cell injection,6
same day,6
tissue as,6
patient to,6
surgical procedure,6
on minimal,6
definition of,6
tissue have,5
a patient,5
type of,5
of tissue,5
tissue base,5
patient who,5
be make,5
cell intervention,5
patient have,5
cfr part,5
part 1271,5
available to,5
as well,5
would have,5
the u.s.,5
to take,5
the procedure,5
procedure that,5
attach file(s,5
my life,5
cell as,5
the people,5
people who,5
of life,5
my left,5
benefit from,5
i find,5
give i,5
therapy be,5
could not,5
to heal,5
pain free,5
my doctor,5
number of,5
multiple sclerosis,5
of motion,5
drug and,5
be treat,5
to choose,5
use a,5
therapy have,5
never be,5
be give,5
one of,5
request for,5
style='padding left,5
left 30px'></span,5
document <,5
