bigram,count
stem cell,164
i have,69
i be,62
of the,57
be not,53
in the,50
cell therapy,41
the fda,39
be a,34
my own,32
do not,31
for the,25
to the,24
cell treatment,24
it be,23
and i,23
of my,23
have be,22
own body,22
this be,20
able to,20
to be,19
they be,19
use of,19
to have,18
as a,18
not a,18
cell be,18
to do,17
out of,17
draft guidance,17
to use,16
be able,16
should be,16
and have,15
have a,15
right to,15
not be,15
continue to,15
of stem,15
my body,15
homologous use,15
have have,14
with the,14
be my,14
< br/,13
br/ >,13
the right,13
in my,13
that i,13
should not,13
have the,12
from the,12
on the,12
to get,12
be in,12
in a,12
have to,12
on my,12
a drug,12
hct p,12
need to,12
for a,11
that have,11
from my,11
have no,11
the stem,11
there be,11
they have,11
my stem,11
own stem,11
that the,11
their own,11
see attach,10
and my,10
these treatment,10
use my,10
own cell,10
treatment be,10
side effect,10
i would,10
i could,10
the same,10
access to,10
fda have,10
strength and,10
and tissue,10
be to,10
guidance on,10
minimal manipulation,10
non- structural,10
treatment i,9
fda approve,9
be no,9
go to,9
therapy i,9
have stem,9
and be,9
such as,9
be the,9
with my,9
cell and,9
do with,9
can be,9
body part,9
of this,9
fda should,9
the donor,9
the treatment,8
< br/><br/>i,8
the us,8
by the,8
that be,8
of medicine,8
therapy that,8
my right,8
knee replacement,8
and a,8
of human,8
of a,8
our own,8
p guidance,8
cellular and,8
i do,8
the draft,8
the use,8
i know,7
and not,7
be do,7
i believe,7
cost of,7
pay for,7
and the,7
thank you,7
for i,7
i can,7
want to,7
range of,7
adult stem,7
make it,7
base on,7
the four,7
four hct,7
guidance document,7
a person&#39;s,7
use the,7
my knee,7
< br/><br/,7
br/><br/ >,7
relate to,7
my cell,7
not the,7
amniotic membrane,7
the cell,6
no long,6
have not,6
with a,6
a well,6
of these,6
the patient,6
be only,6
cell to,6
a stem,6
insurance company,6
well and,6
fda to,6
to i,6
cell procedure,6
with stem,6
under the,6
the united,6
united states,6
this treatment,6
to make,6
regenerative medicine,6
these be,6
we be,6
no option,6
option patient,6
who have,6
body and,6
cell for,6
regulate a,6
responsible stem,6
on a,6
my shoulder,6
same day,6
human cells,6
cells tissues,6
tissue as,6
in any,6
body be,6
to go,6
i should,6
surgical procedure,6
on minimal,6
definition of,6
it have,5
that this,5
the procedure,5
