bigram,count
stem cell,6901
my body,3751
a drug,3400
my cell,3274
cell be,3125
own body,2065
right to,1982
part of,1738
body be,1459
use my,1442
my doctor,1287
my stem,1270
a part,1252
to use,1128
control over,1114
drug they,1083
one's own,1076
any way,1066
from use,1054
my right,1053
body in,1049
to prevent,1047
inalienable right,974
cell they,960
include the,950
prevent i,949
please don't,948
an inalienable,936
i deem,933
able to,931
classify as,925
any right,915
deem acceptable,908
over one's,903
be able,899
one of,897
doctor from,888
own stem,887
suppose to,881
way which,881
be suppose,873
right away,852
don't take,842
acceptable control,838
be classify,837
right please,833
the right,825
another one,783
take another,782
no one,769
own cell,754
be use,689
cell as,671
cell should,645
use of,588
body no,569
one include,533
cell to,527
body and,522
i want,483
cell and,483
big pharma,477
of stem,466
to treat,466
pharmaceutical company,464
belong to,462
as drug,436
be mine,435
want to,426
use they,418
take from,418
cell therapy,409
i believe,392
drug and,390
be consider,383
please do,364
cell for,359
need to,357
thank you,357
skin graft,340
would be,338
the future,337
body noone,326
noone include,326
come from,322
the use,316
i would,314
be take,312
these cell,303
consider a,302
cell treatment,295
a skin,292
cell in,284
the cell,281
use to,278
be allow,274
believe that,258
cell from,249
use their,247
be treat,247
allow to,241
see fit,232
to make,229
access to,229
body to,226
the government,215
the body,212
ability to,212
to help,211
the people,205
cell research,205
cell can,204
no different,203
treat a,203
the patient,199
drug be,198
of human,197
doctor and,196
use stem,196
and tissue,194
would like,193
in order,192
body they,192
be regulate,189
cell that,188
and use,186
order to,185
a person's,183
the stem,181
a person,178
human right,178
body should,175
use in,167
i see,167
an individual,164
be part,163
that stem,163
treat as,160
our body,158
cell i,156
the pharmaceutical,155
my property,155
like to,153
body as,153
the individual,151
a right,149
to take,148
not drug,148
for future,147
future use,147
could be,146
a medical,146
please allow,146
right of,146
number of,145
the ability,143
use for,143
cell belong,143
united states,142
hct ps,141
the way,141
that come,140
to cure,140
not classify,140
not allow,139
the good,138
to classify,138
take away,137
tell i,137
my physician,137
i think,136
to bank,136
a human,136
cell or,135
choose to,135
reclassify stem,135
the potential,135
to keep,133
medical procedure,132
cell so,132
stem cells,131
try to,131
the united,130
the human,130
be reclassify,130
research and,129
as well,128
cell have,128
classify stem,128
drug if,128
health and,127
mine and,127
patient to,126
to allow,125
drug i,125
from one,125
property of,125
be make,123
of life,123
use the,123
