type,term,context,position,comment_id,stakeholder,comment_type
technical_term,HCT/P,...n my view not sufficiently descriptive of the challenges facing the use of HCT/Ps.<br/><br/>There is also the question of the use of autologous cells vs. a...,122,FDA-2015-D-3719-0004,unknown,technical_document
technical_term,IND,"...nproven Interventions in Clinical Practice:<br/>37. In the treatment of an individual patient, where proven interventions do not exist or other known int...",807,FDA-2015-D-3719-0003,unknown,technical_document
technical_term,IND,"...s themselves. Patients are making decisions based on information they can find in public domain. Currently, it is very difficult to accurately evaluate t...",1606,FDA-2015-D-3719-0003,unknown,technical_document
technical_term,IND,"...such undertaking worthwhile, the anonymized dataset would have to include indication, type of treatment, and treatment outcome. Not only this would grea...",2605,FDA-2015-D-3719-0003,unknown,technical_document
technical_term,BLA,...nd seemed to have helped her memory until the cells<br/> attacked her gall bladder in an effort to repair it. Have had the gallbladder removed<br/> and...,189,FDA-2015-D-3719-0006,unknown,personal_narrative
technical_term,BLA,...r/> attacked her gall bladder in an effort to repair it. Have had the gallbladder removed<br/> and I&#39;m confident enough that this helped her that I&...,242,FDA-2015-D-3719-0006,unknown,personal_narrative
technical_term,BLA,"...vomiting and when she did start back,<br/> I assume it was due to her gallbladder being bad. This procedure raised her kidney<br/> level within just a f...",572,FDA-2015-D-3719-0006,unknown,personal_narrative
technical_term,IND,...blood in case an infusion was necessary. The hospital did not require an IND to use blood products for this. What is the difference between the two?...,2187,FDA-2015-D-3719-0007,unknown,personal_narrative
technical_term,IND,"...own my disease to be progressing. The clinical trial drug is a double blind so I deducted that either I was receiving the placebo, or the drug was no...",3562,FDA-2015-D-3719-0007,unknown,personal_narrative
technical_term,IND,...ld this possibly be considered a New Investigational Drug (NID) ? Every individual I spoke to that received this therapy was well informed and had c...,4059,FDA-2015-D-3719-0007,unknown,personal_narrative
technical_term,investigational,"..., my blood, and my decision. How could this possibly be considered a New Investigational Drug (NID) ? Every individual I spoke to that received this therapy was...",4022,FDA-2015-D-3719-0007,unknown,personal_narrative
technical_term,investigational,...nities that I have had. The FDA has it’s hands full with regulating new investigational drugs. Their efforts are greatly appreciated by the general public. S...,4918,FDA-2015-D-3719-0007,unknown,personal_narrative
technical_term,IND,"...road blocks in our way. I am all too aware of the fraud, and unscrupulous individuals who reside in our society, however, one must do their research. As...",2224,FDA-2015-D-3719-0009,unknown,personal_narrative
technical_term,clinical trial,"...market, i.e., Propulsid. I have also been rejected from the FDA/NIH backed clinical trial for islet cell transplant. That has not left me with a lot of options. <br...",340,FDA-2015-D-3719-0009,unknown,personal_narrative
technical_term,BLA,"...had the stem cell therapy I found improvement in my energy level, better bladder control and felt stronger. But, with that being said I hit a wall afte...",162,FDA-2015-D-3719-0010,unknown,personal_narrative
technical_term,IND,"...la California which literally saved my life. I work in the pharmaceutical industry (biologics) and I am a very big supporter of them. However, they do...",1251,FDA-2015-D-3719-0011,unknown,personal_narrative
technical_term,IND,...ne and I believe StemCell Therapy as a first line option is key to healing individuals such as myself and for the future of medicine. The cost of one tr...,1423,FDA-2015-D-3719-0011,unknown,personal_narrative
technical_term,IND,...option but encourage an open this option for insurances to pay for it for individuals! Thank you for considering this and I am happy to answer any ques...,2394,FDA-2015-D-3719-0011,unknown,personal_narrative
technical_term,IND,"...wanted treatment in the US using adipose tissue, even though my research indicated that the best results were coming from fetal or Placentia stem cells...",392,FDA-2015-D-3719-0012,unknown,personal_narrative
